SC,名称,株価
3059,ヒラキ,988
3063,ジェイグループホールディングス,827
3064,MonotaRO,3385
3065,ライフフーズ,1758
3066,JBイレブン,816
3067,東京一番フーズ,604
3068,WDI,1443
3069,アスラポート・ダイニング,460
3070,アマガサ,491
3071,ストリーム,115
3073,DDホ－ルディングス,2552
3075,銚子丸,4410
3076,あいホールディングス,2798
3077,ホリイフードサービス,1069
3079,ディーブイエックス,1495
3080,ジェーソン,375
3082,きちり,698
3083,シーズメン,560
3085,アークランドサービスホールディングス,2161
3086,J.フロントリテイリング,1431
3087,ドトール・日レスホールディングス,2396
3088,マツモトキヨシホールディングス,7730
3089,テクノアルファ,1204
3091,ブロンコビリー,2697
3092,スタートトゥデイ,3565
3093,トレジャー・ファクトリー,806
3094,スーパーバリュー,997
3096,オーシャンシステム,976
3097,物語コーポレーション,7070
3098,ココカラファイン,6330
3099,三越伊勢丹ホールディングス,1122
3101,東洋紡,198
3103,ユニチカ,81
3104,富士紡ホールディングス,3715
3105,日清紡ホールディングス,1328
3106,倉敷紡績,290
3107,ダイワボウホールディングス,436
3109,シキボウ,158
3110,日東紡績,627
3111,オーミケンシ,81
3113,Oakキャピタル,256
3116,トヨタ紡織,2255
3121,マーチャント・バンカーズ,370
3123,サイボー,476
3125,新内外綿,117
3131,シンデン・ハイテックス,3550
3132,マクニカ・富士エレホールディングス,2010
3133,海帆,764
3134,Hamee,2060
3135,マーケットエンタープライズ,610
3136,エコノス,420
3137,ファンデリー,1424
3138,富士山マガジンサービス,1293
3139,ラクト・ジャパン,4050
3140,イデアインターナショナル,958
3141,ウエルシアホールディングス,4475
3143,オーウイル,931
3148,クリエイトSDホールディングス,2975
3150,グリムス,2477
3151,バイタルケーエスケー・ホールディングス,943
3153,八洲電機,941
3154,メディアスホールディングス,2600
3156,UKCホールディングス,1905
3157,ジューテックホールディングス,1250
3159,丸善CHIホールディングス,349
3160,大光,1001
3161,アゼアス,588
3165,フーマイスターエレクトロニクス,1046
3166,OCHIホールディングス,1308
3167,TOKAIホールディングス,844
3168,黒谷,1416
3169,ミサワ,450
3171,マックスバリュ九州,2075
3172,ティーライフ,1413
3173,大阪工機,1021
3174,ハピネス・アンド・ディ,1094
3175,エー・ピーカンパニー,733
3176,三洋貿易,2536
3177,ありがとうサービス,2844
3178,チムニー,2904
3179,シュッピン,2689
3180,ビューティガレージ,1716
3181,買取王国,690
3182,オイシックスドット大地,2124
3183,ウイン・パートナーズ,1470
3184,ICDAホールディングス,1500
3185,夢展望,1448
3186,ネクステージ,2011
3187,サンワカンパニー,413
3189,ANAP,691
3190,ホットマン,596
3191,ジョイフル本田,2868
3192,白鳩,496
3193,鳥貴族,3235
3194,キリン堂ホールディングス,1272
3195,ジェネレーションパス,600
3196,ホットランド,1420
3197,すかいらーく,1619
3198,SFPホールディングス,1718
3199,綿半ホールディングス,2437
3201,日本毛織,975
3202,ダイトウボウ,82
3204,トーア紡コーポレーション,576
3205,ダイドーリミテッド,437
3209,カネヨウ,154
3221,ヨシックス,2394
3222,ユナイテッド・スーパーマーケット・ホールディングス,1065
3223,エスエルディー,1280
3224,ゼネラル・オイスター,978
3228,三栄建築設計,1916
3230,スター・マイカ,3060
3231,野村不動産ホールディングス,2237
3232,三重交通グループホールディングス,445
3236,プロパスト,193
3237,イントランス,206
3238,セントラル総合開発,261
3241,ウィル,359
3242,アーバネットコーポレーション,333
3244,サムティ,1660
3245,ディア・ライフ,495
3246,コーセーアールイー,1352
3248,アールエイジ,778
3250,エー・ディー・ワークス,42
3252,日本商業開発,1749
3254,プレサンスコーポレーション,1542
3258,ユニゾホールディングス,2541
3260,エスポア,384
3261,グランディーズ,438
3264,アスコット,300
3266,ファンドクリエーショングループ,122
3267,フィル・カンパニー,1897
3271,THEグローバル社,822
3275,ハウスコム,2453
3276,日本管理センター,1458
3277,サンセイランディック,913
3280,エストラスト,749
3284,フージャースホールディングス,1086
3286,トラストホールディングス,395
3288,オープンハウス,3390
3289,東急不動産ホールディングス,642
3291,飯田グループホールディングス,1922
3293,アズマハウス,1667
3294,イーグランド,842
3297,東武住販,1120
3299,ムゲンエステート,1050
3300,AMBITION,1165
3302,帝国繊維,2276
3306,日本製麻,440
3313,ブックオフコーポレーション,798
3315,日本コークス工業,112
3316,東京日産コンピュータシステム,2624
3317,フライングガーデン,3020
3318,メガネスーパー,69
3319,ゴルフダイジェスト・オンライン,837
3320,クロスプラス,1200
3321,ミタチ産業,841
3322,アルファグループ,1630
3323,レカム,103
3326,ランシステム,886
3328,BEENOS,1166
3329,東和フードサービス,2870
3333,あさひ,1258
3341,日本調剤,3575
3344,ワンダーコーポレーション,912
3346,21LADY,323
3347,トラスト,295
3349,コスモス薬品,26300
3350,レッド・プラネット・ジャパン,27
3352,バッファロー,900
3353,メディカル一光,8050
3355,クリヤマホールディングス,1719
3356,テリロジー,337
3358,ワイエスフード,249
3359,タイセイ,1270
3360,シップヘルスケアホールディングス,3490
3361,トーエル,899
3366,一六堂,400
3370,フジタコーポレーション,818
3371,ソフトクリエイトホールディングス,1474
3372,関門海,463
3374,内外テック,3615
3375,ZOA,808
3376,オンリー,812
3377,バイク王＆カンパニー,217
3382,セブン＆アイ・ホールディングス,4310
3384,アークコア,393
3385,薬王堂,2929
3386,コスモ・バイオ,1263
3387,クリエイト・レストランツ・ホールディングス,1172
3388,明治電機工業,1692
3390,INEST,160
3391,ツルハホールディングス,13560
3392,デリカフーズ,1672
3393,スターティア,614
3395,サンマルクホールディングス,3240
3396,フェリシモ,1297
3397,トリドールホールディングス,3485
3399,丸千代山岡家,1198
3401,帝人,2226
3402,東レ,1069
3405,クラレ,2135
3407,旭化成,1375.5
3408,サカイオーベックス,2335
3409,北日本紡績,139
3415,TOKYO_BASE,5600
3416,ピクスタ,1315
3417,大木ヘルスケアホールディングス,648
3418,バルニバービ,2690
3419,アートグリーン,1880
3420,ケー・エフ・シー,2182
3421,稲葉製作所,1399
3422,丸順,809
3423,エスイー,513
3424,ミヤコ,899
3426,アトムリビンテック,1051
3431,宮地エンジニアリンググループ,324
3433,トーカロ,4385
3434,アルファ,2201
3435,サンコーテクノ,1043
3436,SUMCO,1664
3437,特殊電極,3750
3439,三ツ知,1695
3440,日創プロニティ,741
3441,山王,1354
3442,MIEコーポレーション,84
3443,川田テクノロジーズ,5840
3444,菊池製作所,885
3445,RSTechnologies,3995
3452,ビーロット,2820
3454,ファーストブラザーズ,878
3457,ハウスドゥ,1547
3458,シーアールイー,1395
3461,パルマ,1716
3464,プロパティエージェント,1586
3465,ケイアイスター不動産,1962
3467,アグレ都市デザイン,1386
3469,デュアルタップ,1672
3474,G-FACTORY,954
3475,グッドコムアセット,1672
3477,フォーライフ,2983
3479,ティーケーピー,2400
3480,ジェイ・エス・ビー,4175
3501,住江織物,338
3504,丸八ホールディングス,860
3512,日本フエルト,501
3513,イチカワ,348
3515,フジコー,631
3521,エコナックホールディングス,77
3524,日東製網,1829
3526,芦森工業,308
3528,プロスペクト,53
3529,アツギ,126
3536,アクサスホールディングス,123
3537,昭栄薬品,2517
3538,ウイルプラスホールディングス,2065
3539,ジャパンミート,1763
3541,農業総合研究所,2790
3542,ベガコーポレーション,1643
3543,コメダホールディングス,1888
3544,サツドラホールディングス,2076
3545,デファクトスタンダード,1425
3546,ダイユー・リックホールディングス,856
3547,串カツ田中,5750
3548,バロックジャパンリミテッド,1012
3549,クスリのアオキホールディングス,6890
3550,スタジオアタオ,1899
3551,ダイニック,264
3553,共和レザー,929
3556,リネットジャパングループ,533
3557,ユナイテッド＆コレクティブ,4240
3558,ロコンド,1897
3559,ピーバンドットコム,1676
3560,ほぼ日,5140
3561,力の源ホールディングス,2109
3562,No.1,2030
3563,スシローグローバルホールディングス,3500
3564,LIXILビバ,1956
3565,アセンテック,4290
3566,ユニフォームネクスト,5060
3569,セーレン,1997
3571,ソトー,1151
3577,東海染工,139
3578,倉庫精練,157
3580,小松精練,877
3583,オーベクス,237
3591,ワコールホールディングス,1576
3593,ホギメディカル,8060
3597,自重堂,1536
3598,山喜,284
3600,フジックス,380
3604,川本産業,320
3606,レナウン,202
3607,クラウディアホールディングス,624
3608,TSIホールディングス,815
3622,ネットイヤーグループ,623
3623,ビリングシステム,7550
3624,アクセルマーク,1519
3625,テックファームホールディングス,1382
3626,TIS,3145
3627,ネオス,459
3628,データホライゾン,1797
3630,電算システム,1910
3632,グリー,774
3633,GMOペパボ,3160
3634,ソケッツ,1456
3635,コーエーテクモホールディングス,2283
3636,三菱総合研究所,3185
3639,ボルテージ,1143
3640,電算,2231
3641,パピレス,2511
3645,メディカルネット,628
3646,駅探,718
3647,ジー・スリーホールディングス,205
3648,AGS,1455
3649,ファインデックス,830
3652,ディジタルメディアプロフェッショナル,2638
3653,モルフォ,4565
3654,ヒト・コミュニケーションズ,1820
3655,ブレインパッド,1054
3656,KLab,1665
3657,ポールトゥウィン・ピットクルーホールディングス,1508
3658,イーブックイニシアティブジャパン,1116
3659,ネクソン,2918
3660,アイスタイル,629
3661,エムアップ,1368
3662,エイチーム,3025
3663,アートスパークホールディングス,1206
3664,モブキャスト,811
3665,エニグモ,1086
3666,テクノスジャパン,1038
3667,enish,2231
3668,コロプラ,1240
3669,モバイルクリエイト,395
3670,協立情報通信,1869
3671,ソフトマックス,1588
3672,オルトプラス,929
3673,ブロードリーフ,861
3674,オークファン,837
3675,クロス・マーケティンググループ,582
3676,ハーツユナイテッドグループ,1444
3677,システム情報,804
3678,メディアドゥホールディングス,2507
3679,じげん,1621
3680,ホットリンク,566
3681,ブイキューブ,617
3682,エンカレッジ・テクノロジ,2079
3683,サイバーリンクス,1444
3685,みんなのウェディング,680
3686,ディー・エル・イー,451
3687,フィックスターズ,3810
3688,VOYAGEグループ,1396
3689,イグニス,3640
3690,ロックオン,1634
3691,リアルワールド,1504
3692,FFRI,3965
3694,オプティム,2535
3695,GMOリサーチ,2323
3696,セレス,1276
3697,SHIFT,1397
3698,CRI・ミドルウェア,1999
3708,特種東海製紙,4610
3710,ジョルダン,1030
3711,創通,2360
3712,情報企画,1786
3719,ジェクシード,120
3723,日本ファルコム,1058
3724,ベリサーブ,3370
3726,フォーシーズホールディングス,510
3727,アプリックス,448
3733,ソフトウェア・サービス,4945
3738,ティーガイア,2101
3739,コムシード,471
3741,セック,2352
3742,ITbook,493
3744,サイオステクノロジー,706
3747,インタートレード,264
3750,セブンシーズホールディングス,1590
3751,日本アジアグループ,411
3753,フライトホールディングス,900
3754,エキサイト,806
3756,豆蔵ホールディングス,1093
3758,アエリア,2163
3760,ケイブ,1735
3762,テクマトリックス,1511
3763,プロシップ,2241
3765,ガンホー・オンライン・エンターテイメント,299
3766,システムズ・デザイン,794
3768,リスクモンスター,1073
3769,GMOペイメントゲートウェイ,7050
3770,ザッパラス,421
3771,システムリサーチ,2148
3772,ウェルス・マネジメント,2023
3773,アドバンスト・メディア,832
3774,インターネットイニシアティブ,2093
3775,ガイアックス,635
3776,ブロードバンドタワー,208
3777,ジオネクスト,50
3778,さくらインターネット,819
3779,ジェイ・エスコムホールディングス,124
3782,ディー・ディー・エス,635
3784,ヴィンクス,1192
3787,テクノマセマティカル,1087
3788,GMOクラウド,3100
3791,IGポート,1883
3793,ドリコム,1222
3794,エヌ・デーソフトウェア,1378
3796,いい生活,374
3798,ULSグループ,1530
3799,キーウェアソリューションズ,525
3800,ユニリタ,1681
3802,エコミック,835
3803,イメージ情報開発,803
3804,システムディ,1325
3807,フィスコ,319
3808,オウケイウェイヴ,519
3810,サイバーステップ,2248
3814,アルファクス・フード・システム,1200
3815,メディア工房,569
3816,大和コンピューター,1142
3817,SRAホールディングス,2886
3822,Minoriソリューションズ,1312
3823,アクロディア,367
3824,メディアファイブ,777
3825,リミックスポイント,980
3826,システムインテグレータ,797
3830,ギガプライズ,2132
3834,朝日ネット,528
3835,eBASE,2425
3836,アバント,1729
3837,アドソル日進,1116
3839,ODKソリューションズ,397
3840,パス,160
3841,ジーダット,1056
3842,ネクストジェン,1940
3843,フリービット,914
3844,コムチュア,5750
